Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
-107,7042,7073,103.94982105000001,103.292,70.38685235000104,0.006328255723341725,2014-01-13 00:00:00,2014-01-14 07:00:00,,1 days 07:00:00
108,7083,7132,103.772178772,104.331,60.35269262399993,0.0053850775286099495,2014-01-14 17:00:00,2014-01-16 18:00:00,,2 days 01:00:00
-108,7138,7152,104.263820736,104.397,-14.38336051200065,-0.00127732959582616,2014-01-17 00:00:00,2014-01-17 14:00:00,,0 days 14:00:00
107,7194,7205,104.69317969299999,104.206,-52.128227150998654,-0.004653404304163722,2014-01-21 09:00:00,2014-01-21 20:00:00,,0 days 11:00:00
-107,7213,7220,104.154820845,104.358,-21.74016958500009,-0.0019507417261306337,2014-01-22 04:00:00,2014-01-22 11:00:00,,0 days 07:00:00
-107,7250,7292,103.66,102.648,108.28400000000005,0.009762685703260665,2014-01-23 17:00:00,2014-01-27 12:00:00,,3 days 19:00:00
109,7327,7343,103.25017824999999,102.2,-114.46942924999865,-0.010171200358193966,2014-01-28 23:00:00,2014-01-29 15:00:00,,0 days 16:00:00
-109,7348,7363,101.993823006,102.253,-28.250292346000066,-0.002541104807736838,2014-01-29 20:00:00,2014-01-30 11:00:00,,0 days 15:00:00
108,7378,7385,102.889177889,102.506,-41.38321201199949,-0.0037241806850996095,2014-01-31 02:00:00,2014-01-31 09:00:00,,0 days 07:00:00
-108,7388,7389,102.328822671,102.219,11.86084846800037,0.0010732330162059878,2014-01-31 12:00:00,2014-01-31 13:00:00,,0 days 01:00:00
-109,7393,7408,101.983,102.094,-12.09899999999891,-0.0010884166969002962,2014-01-31 17:00:00,2014-02-03 08:00:00,,2 days 15:00:00
-109,7411,7412,101.873,101.718,16.895000000000124,0.001521502262621155,2014-02-03 11:00:00,2014-02-03 12:00:00,,0 days 01:00:00
-109,7416,7439,101.66982333,101.411,28.211742969999833,0.002545724203335209,2014-02-03 16:00:00,2014-02-04 15:00:00,,0 days 23:00:00
109,7448,7456,101.66217666200001,101.326,-36.64325615800152,-0.003306801733330089,2014-02-05 00:00:00,2014-02-05 08:00:00,,0 days 08:00:00
